código,tipo,municipio,territorial,nivel_subsiguiente,fuente,altitud,latitud,longitud,ubicacion,codigo_ideam,categoria_ideam
4002,Calidad del Agua,Cáceres,Panzenú,R. Taraza y otros directos cauca (md) - NSS,Río Cauca,81,7.5840828,-75.3486670,,,
4001,Calidad del Agua,La Pintada,Cartama,Directos R. Cauca (mi) - R. Amagá y Q. Sinifaná - NSS,Río Cauca,608,5.7455280,-75.6064170,,,
1027,Limnígrafo,Andes,Citará,R. San Juan - SZH (md),Quebrada San Agustín,1777,5.6242650,-75.9430770,,,
1023,Limnígrafo,Belmira,Tahamíes,R. Grande - Chico - NSS,Río Chico,2533,6.6074720,-75.6677200,,,
1007,Limnígrafo,Betania,Citará,R. San Juan - SZH (md),Río Taparto,1508,5.7032500,-75.9647780,,,
1001,Limnígrafo,Caldas,Aburrá Sur,Rio Aburrá - NSS,Río Medellín,1750,6.0760280,-75.6324170,,,
1024,Limnígrafo,Caracolí,Zenufaná,R. Nus - NSS,Río Nus,625,6.4143860,-74.7578970,,,
1028,Limnígrafo,Caracolí,Zenufaná,R. Nus - NSS,Quebrada La Reina,610,6.4109070,-74.7560278,,,
1002,Limnígrafo,Caucasia,Panzenú,R. Taraza y otros directos cauca (md) - NSS,Río Man,50,7.9562400,-75.2077280,,,
1005,Limnígrafo,Caucasia,Panzenú,R. Cacerí - NSS,Río Caceri,58,7.7927360,-74.9340570,,,
1013,Limnígrafo,Cisneros,Zenufaná,R. Nus - NSS,Río Nus,1038,6.5375000,-75.0847220,,,
1021,Limnígrafo,Ciudad Bolívar,Citará,R. San Juan - SZH (md),Río Bolívar,1192,5.8498890,-76.0239470,,,
1017,Limnígrafo,Copacabana,Aburrá Norte,Rio Aburrá - NSS,Río Medellín,1420,6.3501670,-75.5072780,,,
1019,Limnígrafo,Cáceres,Panzenú,R. Taraza y otros directos cauca (md) - NSS,Río Cauca,81,7.5840830,-75.3486670,,,
1035,Limnígrafo,Cáceres,Panzenú,Directos al Cauca (mi) entre Pto Valdivia y R. Nechí,Piamonte-Rio Cauca,1,7.7795000,-75.2096000,,,
1037,Limnígrafo,Cáceres,Panzenú,R. Taraza y otros directos cauca (md) - NSS,Quebrada Noa,1,7.5978000,-75.3408000,,,
1030,Limnígrafo,Don Matías,Tahamíes,R. Grande - Chico - NSS,Quebrada Don Matías,2147,6.4903530,-75.4002560,,,
1045,Limnígrafo,Don Matías,Tahamíes,R. Grande - Chico - NSS,Quebrada Don Matías,2147,6.4870610,-75.3808700,,,
